date,volume,open,high,low,close
2014/9/30,35816980,79.35,79.7067,78.6,79.04
2014/9/29,33969370,78.12,79.199,77.91,79
2014/9/26,28827060,77.59,78.8416,77.33,78.79
2014/9/25,37392870,78.6,78.94,77.13,77.22
2014/9/24,30638360,78.1,78.62,77.51,78.535
2014/9/23,36666690,76.33,78.63,76.04,78.29
2014/9/22,31908240,77,77.53,75.95,76.8
2014/9/19,76614560,77.4,78.3,76.44,77.91
2014/9/18,22939820,76.77,77.33,76.52,77
2014/9/17,28498200,75.96,77.25,75.57,76.43
2014/9/16,37662500,73.52,76.23,73.07,76.08
2014/9/15,49552660,77.15,77.25,73.43,74.58
2014/9/12,26655670,78.02,78.3,77.1,77.48
2014/9/11,32181110,77.13,78.36,77.05,77.92
2014/9/10,29836020,76.52,77.95,76.51,77.43
2014/9/9,28723090,77.59,78.17,76.2,76.67
2014/9/8,28135810,77.26,78.17,77.01,77.89
2014/9/5,29387630,76.1,77.38,75.598,77.26
2014/9/4,26581940,75.89,76.93,75.53,75.95
2014/9/3,32311920,77.14,77.48,75.6,75.83
2014/9/2,34744550,75.01,76.7,74.82,76.68
2014/8/29,26215560,74.3,74.82,74.01,74.82
2014/8/28,21898440,74,74.43,73.73,73.855
2014/8/27,36213130,75.27,75.49,74.46,74.63
2014/8/26,23793170,75,75.99,74.73,75.9601
2014/8/25,19683350,74.94,75.28,74.79,75.02
2014/8/22,20847650,74.34,74.73,73.57,74.57
2014/8/21,20053690,74.92,75.19,74.4149,74.57
2014/8/20,22863680,74.97,75.18,74.62,74.81
2014/8/19,26596500,74.81,75.58,74.77,75.29
2014/8/18,23898550,74,74.72,73.96,74.59
2014/8/15,38837920,74.32,74.65,73,73.63
2014/8/14,22163750,73.97,74.38,73.69,74.296
2014/8/13,29181990,73.12,74.25,73.05,73.77
2014/8/12,27347900,73.09,73.3301,72.22,72.83
2014/8/11,24533690,73.46,73.91,73.06,73.44
2014/8/8,27097750,73.4,73.43,72.56,73.06
2014/8/7,38049750,73,74,72.7,73.17
2014/8/6,30898990,72.02,73.72,71.79,72.47
2014/8/5,34918620,73.2,73.59,72.18,72.69
2014/8/4,30630370,72.36,73.88,72.36,73.51
2014/8/1,43402770,72.22,73.22,71.55,72.36
2014/7/31,43811380,74,74.165,72.44,72.65
2014/7/30,36804070,74.21,75.19,74.13,74.677
2014/7/29,41050770,74.72,74.92,73.4229,73.71
2014/7/28,41556090,75.17,75.5,73.85,74.92
2014/7/25,45792800,74.99,75.67,74.662,75.19
2014/7/24,123026900,75.96,76.74,74.51,74.98
2014/7/23,74712560,69.74,71.33,69.61,71.29
2014/7/22,40227960,69.76,69.77,68.61,69.27
2014/7/21,49386920,68.81,69.96,68.5,69.4
2014/7/18,42223010,66.8,68.46,66.16,68.4199
2014/7/17,37941770,67.03,67.85,66.04,66.4099
2014/7/16,29525060,67.54,67.94,67.07,67.66
2014/7/15,44145960,67.96,68.0899,66.26,67.165
2014/7/14,38404830,67.13,68.17,66.9,67.9
2014/7/11,39147600,65.28,66.59,64.79,66.34
2014/7/10,44348430,63.31,65.34,63.05,64.8725
2014/7/9,51298480,63.41,65.12,63.15,64.97
2014/7/8,68838080,65.06,65.56,62.21,62.76
2014/7/7,28688050,66.3,66.57,65.12,65.29
2014/7/3,25203220,66.855,67,65.76,66.29
2014/7/2,41778400,68.04,68.3,65.79,66.45
2014/7/1,33156390,67.58,68.44,67.39,68.06
2014/6/30,27078350,67.46,67.92,67.13,67.29
2014/6/27,46396950,67.31,67.7,66.84,67.6
2014/6/26,47618020,68,68,66.9,67.13
2014/6/25,44183630,65.58,67.48,65.57,67.44
2014/6/24,57260230,65.36,67.17,65.27,65.72
2014/6/23,34424160,64.32,65.66,64.22,65.37
2014/6/20,46394230,64.46,64.81,63.35,64.5
2014/6/19,34097910,65.46,65.5756,64.21,64.3415
2014/6/18,35450700,64.49,65.75,64.05,65.6
2014/6/17,27629660,64.1,64.88,63.93,64.4
2014/6/16,30849450,64.16,64.88,63.75,64.19
2014/6/13,29367820,64.7,64.97,63.83,64.5
2014/6/12,55604800,65.85,66.47,64.06,64.2901
2014/6/11,44132140,65.32,65.8,64.9,65.781
2014/6/10,69105010,63.53,65.82,63.5,65.77
2014/6/9,37474470,62.4,63.34,61.79,62.88
2014/6/6,42373250,63.37,63.48,62.15,62.5
2014/6/5,47278710,63.66,64.36,62.82,63.186
2014/6/4,36460620,62.45,63.59,62.07,63.34
2014/6/3,32097900,62.62,63.42,62.32,62.87
2014/6/2,35946770,63.23,63.59,62.05,63.08
2014/5/30,45224820,63.95,64.17,62.56,63.3
2014/5/29,42333090,63.84,64.3,63.51,63.83
2014/5/28,47746450,63.39,64.14,62.62,63.51
2014/5/27,55546990,61.62,63.51,61.57,63.48
2014/5/23,38210700,60.41,61.45,60.15,61.351
2014/5/22,54067890,60.94,61.48,60.4,60.52
2014/5/21,58814920,58.56,60.5,58.25,60.49
2014/5/20,53804590,59.5,60.19,58.18,58.56
2014/5/19,42968380,57.89,59.56,57.57,59.21
2014/5/16,47850350,58.31,58.45,57.31,58.0199
2014/5/15,56691940,59.26,59.38,57.52,57.919
2014/5/14,47379700,59.53,60.45,58.95,59.23
2014/5/13,48442200,59.66,60.89,59.51,59.83
2014/5/12,48403930,57.98,59.9,57.98,59.83
2014/5/9,52497050,56.85,57.65,56.38,57.24
2014/5/8,61143360,57.23,58.82,56.5,56.76
2014/5/7,78450290,58.77,59.3,56.26,57.39
2014/5/6,55798800,60.98,61.15,58.49,58.53
2014/5/5,45938990,59.67,61.35,59.18,61.22
2014/5/2,54086030,61.3,61.89,60.18,60.46
2014/5/1,82319330,60.43,62.28,60.21,61.15
2014/4/30,75599310,57.58,59.85,57.16,59.78
2014/4/29,75339000,56.09,58.28,55.84,58.15
2014/4/28,107534200,58.05,58.31,54.66,56.14
2014/4/25,92257140,59.97,60.01,57.57,57.71
2014/4/24,138477000,63.6,63.65,59.77,60.87
2014/4/23,94013700,63.45,63.48,61.26,61.36
2014/4/22,60328420,62.65,63.44,62.22,63.0301
2014/4/21,60064820,59.46,61.24,59.15,61.24
2014/4/17,87956250,59.3,60.58,58.72,58.94
2014/4/16,78548910,59.79,60.19,57.74,59.72
2014/4/15,108466300,59.29,59.68,55.88,59.09
2014/4/14,72152260,60.09,60.45,57.78,58.89
2014/4/11,91373170,57.6,60.31,57.31,58.53
2014/4/10,114767600,63.08,63.18,58.68,59.16
2014/4/9,99918180,59.63,62.4558,59.1882,62.41
2014/4/8,78732130,57.68,58.71,57.17,58.1901
2014/4/7,108324400,55.9,58,55.44,56.95
2014/4/4,125198200,59.94,60.2,56.32,56.749
2014/4/3,83585460,62.55,63.17,59.13,59.49
2014/4/2,66149490,63.21,63.91,62.21,62.72
2014/4/1,59098260,60.46,62.66,60.24,62.62
2014/3/31,52921180,60.78,61.52,59.87,60.24
2014/3/28,66888000,61.34,61.95,59.335,60.01
2014/3/27,112453500,60.51,61.9,57.98,60.97
2014/3/26,97436810,64.74,64.95,60.37,60.385
2014/3/25,68168890,64.89,66.19,63.78,64.89
2014/3/24,85551700,67.19,67.36,63.36,64.1
2014/3/21,59993420,67.53,67.92,66.1786,67.24
2014/3/20,44344660,68.01,68.23,66.82,66.97
2014/3/19,43909250,69.17,69.29,67.465,68.24
2014/3/18,40731150,68.76,69.6,68.3,69.19
2014/3/17,52098860,68.18,68.95,66.62,68.7399
2014/3/14,48095760,68.49,69.43,67.46,67.72
2014/3/13,56954770,71.29,71.35,68.15,68.83
2014/3/12,46332080,69.86,71.35,69,70.8799
2014/3/11,59364950,72.5,72.59,69.96,70.1
2014/3/10,59853820,70.77,72.15,70.51,72.03
2014/3/7,38918700,71.08,71.18,69.47,69.8
2014/3/6,46023480,71.88,71.89,70.25,70.84
2014/3/5,74560670,69.69,71.97,69.62,71.57
2014/3/4,41996420,68.66,68.9,67.62,68.8
2014/3/3,56813110,66.96,68.05,66.51,67.41
2014/2/28,66738010,69.47,69.88,67.38,68.46
2014/2/27,41638450,69.34,70.01,68.87,68.94
2014/2/26,55302090,70.19,71.22,68.85,69.26
2014/2/25,52062710,70.95,71,69.45,69.85
2014/2/24,76735760,68.74,71.44,68.54,70.78
2014/2/21,70923530,69.69,69.96,68.45,68.59
2014/2/20,130880100,67.73,70.11,65.727,69.63
2014/2/19,60295610,67.05,69.08,67,68.06
2014/2/18,43798520,66.94,67.5397,66.07,67.3
2014/2/14,36731220,67.5,67.58,66.72,67.09
2014/2/13,61883050,64.18,67.33,64.05,67.33
2014/2/12,47260370,64.92,65.06,64.05,64.45
2014/2/11,45657700,63.75,65,63.35,64.851
2014/2/10,43642880,64.3,64.49,63.473,63.548
2014/2/7,60762540,62.27,64.57,62.22,64.32
2014/2/6,42079800,61.46,62.78,61.46,62.16
2014/2/5,51553330,62.74,63.16,61.27,62.19
2014/2/4,45977670,62.05,63.14,61.82,62.75
2014/2/3,74852940,63.03,63.77,60.7,61.48
2014/1/31,87774330,60.47,63.37,60.17,62.57
2014/1/30,150128200,62.12,62.5,60.46,61.08
